id,renewal
649,1.0
81136,1.0
70762,1.0
53935,1.0
15476,1.0
64797,1.0
67412,1.0
44241,1.0
5069,1.0
16615,1.0
84281,1.0
82623,1.0
86475,1.0
68263,1.0
113135,1.0
45532,1.0
102161,1.0
84789,1.0
62398,1.0
70148,1.0
102487,1.0
100513,1.0
92702,1.0
25051,1.0
92920,1.0
25520,1.0
81869,1.0
75402,1.0
34053,1.0
21191,1.0
10864,1.0
6349,1.0
85213,1.0
17255,1.0
108351,1.0
51437,1.0
88629,1.0
85367,1.0
12313,1.0
71659,1.0
35142,1.0
62988,1.0
8793,1.0
11433,1.0
30586,1.0
53012,1.0
87924,1.0
106177,1.0
63058,1.0
99537,1.0
35336,1.0
78691,1.0
16161,1.0
94318,1.0
96583,1.0
104560,1.0
19638,1.0
26080,1.0
113482,1.0
82175,1.0
1239,1.0
32521,1.0
68529,1.0
38882,1.0
8299,1.0
98521,1.0
47257,1.0
42445,1.0
104700,1.0
109204,1.0
20138,1.0
28468,1.0
94964,1.0
59773,1.0
17261,1.0
9570,1.0
55159,1.0
82480,1.0
51225,1.0
53176,1.0
82883,1.0
63590,1.0
50906,1.0
21635,1.0
84000,1.0
79029,1.0
60256,1.0
110660,1.0
51023,1.0
99146,1.0
93878,1.0
93845,1.0
5364,1.0
106612,1.0
79928,1.0
94761,1.0
7126,1.0
82176,1.0
53475,1.0
88108,1.0
65166,1.0
65378,1.0
47119,1.0
64338,1.0
48872,1.0
26061,1.0
78191,1.0
108224,1.0
47646,1.0
63423,1.0
109453,1.0
43299,1.0
86879,1.0
51882,1.0
84497,1.0
19699,1.0
52164,1.0
36055,1.0
17844,1.0
12006,1.0
51731,1.0
101823,1.0
70611,1.0
57291,1.0
3315,1.0
6841,1.0
95636,1.0
89508,1.0
78357,1.0
30363,1.0
65880,1.0
79166,1.0
16883,1.0
19400,1.0
97846,1.0
35938,1.0
109739,1.0
7542,1.0
62506,1.0
106686,1.0
22500,1.0
73566,1.0
34462,1.0
109,1.0
82344,1.0
70324,1.0
47235,1.0
78355,1.0
97012,1.0
103271,1.0
54640,1.0
18452,1.0
80733,1.0
22069,1.0
63586,1.0
63069,1.0
66451,1.0
5163,1.0
6542,1.0
79333,1.0
8752,1.0
37396,1.0
27502,1.0
65597,1.0
50178,1.0
51709,1.0
32294,1.0
76360,1.0
51635,1.0
103391,1.0
59747,1.0
21498,1.0
18771,1.0
34501,1.0
77807,1.0
26350,1.0
105355,1.0
5469,1.0
23826,1.0
9399,1.0
44862,1.0
104114,1.0
20407,1.0
7541,1.0
72892,1.0
81994,1.0
111007,1.0
83350,1.0
